,,,,,,,09/07/2026,RELATÓRIO ATUALIZADO CEARÁ,,,,,EM VERDE DATA APROVADA CLIENTE,EM LARANJA DATA NÃO APROVADA CLIENTE,09/07/2026,,,,,,,,,,
,EM VERMELHO CÓD. DA CARTELA NÃO LOCALIZADO,,,,,,09/07/2026 17:02:13,,DÚVIDA CLICA AQUI,,https://encurtador.com.br/2bDAO,,SEMPRE VERIFICAR O FILTRO PRAZO,,,,,,,,,,,,
Column 24,CARTELA,CLIENTE,CÓD. FILIAL,PEDIDO,CÓD. CLIENTE,CÓD. MARFIM,DESCRIÇÃO,TAMANHO,ORD. COMPRA,QTD. ABERTA,CÓD. OS ,DATA RECEB.,DT. ENTREGA,PRAZO,SITUAÇÃO DE ITENS,DATA SISTEMA,DATAS REPROGRAMADAS,APROVAÇÃO DO CLIENTE,CÓD. ALTERADO,CÓD. DO SISTEMA,POSIÇÃO NA PRODUÇÃO,PEDIDO NA EMPRESA EM DIAS,MARCA,LOTE,Column 23
199,OK,DASS ITAPIPOCA,2,139173,876317,81783,ATAC. M12109 6MM POLIESTER COR 481,130CM,15770852,573,15765959ITA0360260,29/05/2026,09/07/2026,0,PRODUÇAO,15/06/2026,09/07/26,,#N/A,876317,,41,ADIDAS,134069,
200,OK,DASS ITAPIPOCA,2,139173,876317,81783,ATAC. M12109 6MM POLIESTER COR 481,135CM,15770852,4,15765959ITA0360260,29/05/2026,09/07/2026,0,PRODUÇAO,15/06/26,09/07/26,,#N/A,876317,,41,ADIDAS,134069,
201,OK,DASS ITAPIPOCA,2,139175,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,125CM,15770878,250,15766016ITA0360247,29/05/2026,09/07/2026,0,PRODUÇAO,15/06/26,09/07/26,,#N/A,1294335,,41,ADIDAS,134067,
202,OK,DASS ITAPIPOCA,2,139175,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,125CM,15770878,250,15766019ITA0360247,29/05/2026,09/07/2026,0,PRODUÇAO,15/06/26,09/07/26,,#N/A,1294335,,41,ADIDAS,134067,
203,OK,DASS ITAPIPOCA,2,139175,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,125CM,15770878,250,15766022ITA0360247,29/05/2026,09/07/2026,0,PRODUÇAO,15/06/26,09/07/26,,#N/A,1294335,,41,ADIDAS,134067,
204,OK,DASS ITAPIPOCA,2,139175,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,125CM,15770878,230,15766025ITA0360247,29/05/2026,09/07/2026,0,PRODUÇAO,15/06/26,09/07/26,,#N/A,1294335,,41,ADIDAS,134067,
205,OK,DASS ITAPIPOCA,2,139175,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,125CM,15770878,272,15766028ITA0360247,29/05/2026,09/07/2026,0,PRODUÇAO,15/06/26,09/07/26,,#N/A,1294335,,41,ADIDAS,134067,
206,OK,DASS ITAPIPOCA,2,139175,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,125CM,15770878,257,15766373ITA0360270,29/05/2026,09/07/2026,0,PRODUÇAO,15/06/26,09/07/26,,#N/A,1294335,,41,ADIDAS,134067,
207,OK,DASS ITAPIPOCA,2,139175,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,125CM,15770878,272,15766376ITA0360270,29/05/2026,09/07/2026,0,PRODUÇAO,15/06/26,09/07/26,,#N/A,1294335,,41,ADIDAS,134067,
208,OK,DASS ITAPIPOCA,2,139175,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,130CM,15770878,211,15766373ITA0360270,29/05/2026,09/07/2026,0,PRODUÇAO,15/06/2026,09/07/26,,#N/A,1294335,,41,ADIDAS,134067,
209,OK,DASS ITAPIPOCA,2,139175,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,130CM,15770878,231,15766376ITA0360270,29/05/2026,09/07/2026,0,PRODUÇAO,15/06/2026,09/07/26,,#N/A,1294335,,41,ADIDAS,134067,
222,OK,DASS ITAPIPOCA,2,139175,1387665,92166,ATAC. M12183 6MM REFLEX COR 4085,115CM,15770878,550,15766241ADS0004561,29/05/2026,09/07/2026,0,PRODUÇAO,15/06/2026,09/07/26,,#N/A,1387665,,41,ADIDAS,134067,
223,OK,DASS ITAPIPOCA,2,139175,1387665,92166,ATAC. M12183 6MM REFLEX COR 4085,125CM,15770878,330,15766175ADS0004569,29/05/2026,09/07/2026,0,PRODUÇAO,15/06/2026,09/07/26,,#N/A,1387665,,41,ADIDAS,134067,
224,OK,DASS ITAPIPOCA,2,139175,1387665,92166,ATAC. M12183 6MM REFLEX COR 4085,125CM,15770878,330,15766178ADS0004569,29/05/2026,09/07/2026,0,PRODUÇAO,15/06/2026,09/07/26,,#N/A,1387665,,41,ADIDAS,134067,
225,OK,DASS ITAPIPOCA,2,139175,1387665,92166,ATAC. M12183 6MM REFLEX COR 4085,125CM,15770878,370,15766181ADS0004569,29/05/2026,09/07/2026,0,PRODUÇAO,15/06/2026,09/07/26,,#N/A,1387665,,41,ADIDAS,134067,
226,OK,DASS ITAPIPOCA,2,139175,1387665,92166,ATAC. M12183 6MM REFLEX COR 4085,130CM,15770878,110,15766160ADS0004564,29/05/2026,09/07/2026,0,PRODUÇAO,15/06/2026,09/07/26,,#N/A,1387665,,41,ADIDAS,134067,
227,OK,DASS ITAPIPOCA,2,139175,1387665,92166,ATAC. M12183 6MM REFLEX COR 4085,130CM,15770878,90,15766163ADS0004564,29/05/2026,09/07/2026,0,PRODUÇAO,15/06/2026,09/07/26,,#N/A,1387665,,41,ADIDAS,134067,
228,OK,DASS ITAPIPOCA,2,139175,1387665,92166,ATAC. M12183 6MM REFLEX COR 4085,130CM,15770878,90,15766166ADS0004564,29/05/2026,09/07/2026,0,PRODUÇAO,15/06/2026,09/07/26,,#N/A,1387665,,41,ADIDAS,134067,
229,OK,DASS ITAPIPOCA,2,139175,1387665,92166,ATAC. M12183 6MM REFLEX COR 4085,130CM,15770878,100,15766169ADS0004564,29/05/2026,09/07/2026,0,PRODUÇAO,15/06/2026,09/07/26,,#N/A,1387665,,41,ADIDAS,134067,
230,OK,DASS ITAPIPOCA,2,139175,1387665,92166,ATAC. M12183 6MM REFLEX COR 4085,130CM,15770878,100,15766172ADS0004569,29/05/2026,09/07/2026,0,PRODUÇAO,15/06/2026,09/07/26,,#N/A,1387665,,41,ADIDAS,134067,
231,OK,DASS ITAPIPOCA,2,139175,1387665,92166,ATAC. M12183 6MM REFLEX COR 4085,130CM,15770878,90,15766175ADS0004569,29/05/2026,09/07/2026,0,PRODUÇAO,15/06/2026,09/07/26,,#N/A,1387665,,41,ADIDAS,134067,
232,OK,DASS ITAPIPOCA,2,139175,1387665,92166,ATAC. M12183 6MM REFLEX COR 4085,130CM,15770878,90,15766178ADS0004569,29/05/2026,09/07/2026,0,PRODUÇAO,15/06/2026,09/07/26,,#N/A,1387665,,41,ADIDAS,134067,
233,OK,DASS ITAPIPOCA,2,139175,1387665,92166,ATAC. M12183 6MM REFLEX COR 4085,130CM,15770878,90,15766181ADS0004569,29/05/2026,09/07/2026,0,PRODUÇAO,15/06/2026,09/07/26,,#N/A,1387665,,41,ADIDAS,134067,
234,OK,DASS ITAPIPOCA,2,139179,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,115CM,15771213,447,15767924ADL0000444,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,1380683,,41,ADIDAS,134063,
235,OK,DASS ITAPIPOCA,2,139179,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,115CM,15771213,410,15767927ADL0000444,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,1380683,,41,ADIDAS,134063,
236,OK,DASS ITAPIPOCA,2,139179,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,115CM,15771213,410,15767930ADL0000444,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,1380683,,41,ADIDAS,134063,
237,OK,DASS ITAPIPOCA,2,139179,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,115CM,15771213,410,15767933ADL0000444,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,1380683,,41,ADIDAS,134063,
238,OK,DASS ITAPIPOCA,2,139179,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,115CM,15771213,400,15767936ADL0000444,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,1380683,,41,ADIDAS,134063,
239,OK,DASS ITAPIPOCA,2,139179,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15771213,160,15767924ADL0000444,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,1380683,,41,ADIDAS,134063,
240,OK,DASS ITAPIPOCA,2,139179,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15771213,169,15767927ADL0000444,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,1380683,,41,ADIDAS,134063,
241,OK,DASS ITAPIPOCA,2,139179,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15771213,150,15767930ADL0000444,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,1380683,,41,ADIDAS,134063,
242,OK,DASS ITAPIPOCA,2,139179,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15771213,140,15767933ADL0000444,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,1380683,,41,ADIDAS,134063,
243,OK,DASS ITAPIPOCA,2,139179,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15771213,169,15767936ADL0000444,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,1380683,,41,ADIDAS,134063,
244,OK,DASS ITAPIPOCA,2,139179,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,130CM,15771213,110,15768023ADL0000460,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,1380683,,41,ADIDAS,134063,
245,OK,DASS ITAPIPOCA,2,139179,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,130CM,15771213,120,15768026ADL0000460,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,1380683,,41,ADIDAS,134063,
246,OK,DASS ITAPIPOCA,2,139179,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,135CM,15771213,221,15768023ADL0000460,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,1380683,,41,ADIDAS,134063,
247,OK,DASS ITAPIPOCA,2,139179,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,135CM,15771213,235,15768026ADL0000460,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,1380683,,41,ADIDAS,134063,
248,OK,DASS ITAPIPOCA,2,139179,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,140CM,15771213,67,15768023ADL0000460,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,1380683,,41,ADIDAS,134063,
249,OK,DASS ITAPIPOCA,2,139179,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,140CM,15771213,65,15768026ADL0000460,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,1380683,,41,ADIDAS,134063,
250,OK,DASS ITAPIPOCA,2,139181,989345,86791,ATAC. MR110001 6MM RECICLADO COR 100/PET,110CM,15771229,221,15767894ADS0004558,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,989345,,41,ADIDAS,134061,
251,OK,DASS ITAPIPOCA,2,139181,989345,86791,ATAC. MR110001 6MM RECICLADO COR 100/PET,110CM,15771229,190,15767897ADS0004558,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,989345,,41,ADIDAS,134061,
252,OK,DASS ITAPIPOCA,2,139181,989345,86791,ATAC. MR110001 6MM RECICLADO COR 100/PET,110CM,15771229,230,15767900ADS0004558,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,989345,,41,ADIDAS,134061,
253,OK,DASS ITAPIPOCA,2,139181,989345,86791,ATAC. MR110001 6MM RECICLADO COR 100/PET,110CM,15771229,221,15767903ADS0004566,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,989345,,41,ADIDAS,134061,
254,OK,DASS ITAPIPOCA,2,139181,989345,86791,ATAC. MR110001 6MM RECICLADO COR 100/PET,110CM,15771229,190,15767906ADS0004566,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,989345,,41,ADIDAS,134061,
255,OK,DASS ITAPIPOCA,2,139181,989345,86791,ATAC. MR110001 6MM RECICLADO COR 100/PET,110CM,15771229,230,15767909ADS0004566,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,989345,,41,ADIDAS,134061,
256,OK,DASS ITAPIPOCA,2,139181,989345,86791,ATAC. MR110001 6MM RECICLADO COR 100/PET,115CM,15771229,300,15767894ADS0004558,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,989345,,41,ADIDAS,134061,
257,OK,DASS ITAPIPOCA,2,139181,989345,86791,ATAC. MR110001 6MM RECICLADO COR 100/PET,115CM,15771229,280,15767897ADS0004558,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,989345,,41,ADIDAS,134061,
258,OK,DASS ITAPIPOCA,2,139181,989345,86791,ATAC. MR110001 6MM RECICLADO COR 100/PET,115CM,15771229,300,15767900ADS0004558,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,989345,,41,ADIDAS,134061,
259,OK,DASS ITAPIPOCA,2,139181,989345,86791,ATAC. MR110001 6MM RECICLADO COR 100/PET,115CM,15771229,300,15767903ADS0004566,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,989345,,41,ADIDAS,134061,
260,OK,DASS ITAPIPOCA,2,139181,989345,86791,ATAC. MR110001 6MM RECICLADO COR 100/PET,115CM,15771229,280,15767906ADS0004566,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,989345,,41,ADIDAS,134061,
261,OK,DASS ITAPIPOCA,2,139181,989345,86791,ATAC. MR110001 6MM RECICLADO COR 100/PET,115CM,15771229,300,15767909ADS0004566,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,989345,,41,ADIDAS,134061,
262,OK,DASS ITAPIPOCA,2,139181,989345,86791,ATAC. MR110001 6MM RECICLADO COR 100/PET,120CM,15771229,30,15767894ADS0004558,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,989345,,41,ADIDAS,134061,
263,OK,DASS ITAPIPOCA,2,139181,989345,86791,ATAC. MR110001 6MM RECICLADO COR 100/PET,120CM,15771229,20,15767897ADS0004558,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,989345,,41,ADIDAS,134061,
264,OK,DASS ITAPIPOCA,2,139181,989345,86791,ATAC. MR110001 6MM RECICLADO COR 100/PET,120CM,15771229,30,15767900ADS0004558,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/26,09/07/26,,#N/A,989345,,41,ADIDAS,134061,
265,OK,DASS ITAPIPOCA,2,139181,989345,86791,ATAC. MR110001 6MM RECICLADO COR 100/PET,120CM,15771229,30,15767903ADS0004566,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/26,09/07/26,,#N/A,989345,,41,ADIDAS,134061,
266,OK,DASS ITAPIPOCA,2,139181,989345,86791,ATAC. MR110001 6MM RECICLADO COR 100/PET,120CM,15771229,20,15767906ADS0004566,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/26,09/07/26,,#N/A,989345,,41,ADIDAS,134061,
267,OK,DASS ITAPIPOCA,2,139181,989345,86791,ATAC. MR110001 6MM RECICLADO COR 100/PET,120CM,15771229,30,15767909ADS0004566,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/26,09/07/26,,#N/A,989345,,41,ADIDAS,134061,
268,OK,DASS ITAPIPOCA,2,139182,1363643,91191,ATAC. MR110002 6MM RECICLADO COR 5847/PET,130CM,15771234,420,15767837ITA0360287,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/26,09/07/26,,#N/A,1363643,,41,ADIDAS,134060,
269,OK,DASS ITAPIPOCA,2,139182,1363643,91191,ATAC. MR110002 6MM RECICLADO COR 5847/PET,130CM,15771234,401,15767841ITA0360287,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/26,09/07/26,,#N/A,1363643,,41,ADIDAS,134060,
270,OK,DASS ITAPIPOCA,2,139182,1363643,91191,ATAC. MR110002 6MM RECICLADO COR 5847/PET,130CM,15771234,321,15767846ITA0360304,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/26,09/07/26,,#N/A,1363643,,41,ADIDAS,134060,
271,OK,DASS ITAPIPOCA,2,139182,1363643,91191,ATAC. MR110002 6MM RECICLADO COR 5847/PET,130CM,15771234,320,15767855ITA0360304,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/26,09/07/26,,#N/A,1363643,,41,ADIDAS,134060,
272,OK,DASS ITAPIPOCA,2,139182,1363643,91191,ATAC. MR110002 6MM RECICLADO COR 5847/PET,130CM,15771234,361,15767858ITA0360304,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/26,09/07/26,,#N/A,1363643,,41,ADIDAS,134060,
273,OK,DASS ITAPIPOCA,2,139182,1363643,91191,ATAC. MR110002 6MM RECICLADO COR 5847/PET,135CM,15771234,160,15767834ITA0360287,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/26,09/07/26,,#N/A,1363643,,41,ADIDAS,134060,
274,OK,DASS ITAPIPOCA,2,139182,1363643,91191,ATAC. MR110002 6MM RECICLADO COR 5847/PET,135CM,15771234,137,15767837ITA0360287,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/26,09/07/26,,#N/A,1363643,,41,ADIDAS,134060,
275,OK,DASS ITAPIPOCA,2,139182,1363643,91191,ATAC. MR110002 6MM RECICLADO COR 5847/PET,135CM,15771234,136,15767841ITA0360287,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/26,09/07/26,,#N/A,1363643,,41,ADIDAS,134060,
276,OK,DASS ITAPIPOCA,2,139182,1363643,91191,ATAC. MR110002 6MM RECICLADO COR 5847/PET,135CM,15771234,152,15767846ITA0360304,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/26,09/07/26,,#N/A,1363643,,41,ADIDAS,134060,
277,OK,DASS ITAPIPOCA,2,139182,1363643,91191,ATAC. MR110002 6MM RECICLADO COR 5847/PET,135CM,15771234,130,15767855ITA0360304,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/26,09/07/26,,#N/A,1363643,,41,ADIDAS,134060,
278,OK,DASS ITAPIPOCA,2,139182,1363643,91191,ATAC. MR110002 6MM RECICLADO COR 5847/PET,135CM,15771234,162,15767858ITA0360304,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/26,09/07/26,,#N/A,1363643,,41,ADIDAS,134060,
279,OK,DASS ITAPIPOCA,2,139182,1363643,91191,ATAC. MR110002 6MM RECICLADO COR 5847/PET,140CM,15771234,3,15767834ITA0360287,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/26,09/07/26,,#N/A,1363643,,41,ADIDAS,134060,
280,OK,DASS ITAPIPOCA,2,139182,1363643,91191,ATAC. MR110002 6MM RECICLADO COR 5847/PET,140CM,15771234,44,15767846ITA0360304,29/05/2026,09/07/2026,0,PRODUÇAO,22/06/2026,09/07/26,,#N/A,1363643,,41,ADIDAS,134060,
299,OK,DASS ITAPIPOCA,2,139241,1364342,92278,FITA M31134 C/GOMA POLIESTER COR 4685 / COR 066,12MM,15772526,2600,0,01/06/2026,09/07/2026,0,PRODUÇAO PARCIAL,29/06/2026,09/07/26,,#N/A,1364342,,38,ADIDAS,134099,
300,OK,DASS ITAPIPOCA,2,139242,1370216,91368,FITA M31134 C/GOMA POLIESTER COR 100 / COR 765,12MM,15772528,2500,0,01/06/2026,09/07/2026,0,,29/06/2026,09/07/26,,#N/A,1370216,URDIDEIRA,38,ADIDAS,134100,
589,OK,DASS ITAPIPOCA,2,139578,1349423,80593,FITA MFGP C/ GOMA POLIESTER COR 440,12MM,15810516,100,0,11/06/2026,09/07/2026,0,PRODUÇAO,25/06/2026,09/07/26,,#N/A,1349423,,28,NEW BALANCE,134676,
590,OK,DASS ITAPIPOCA,2,139581,1345630,89098,FITA  M31130 POLIMP MEADA COR 5233/P,15MM,15810765,820,0,11/06/2026,09/07/2026,0,PRODUÇAO,29/06/2026,09/07/26,,#N/A,1345630,,28,NEW BALANCE,134678,
591,OK,DASS ITAPIPOCA,2,139581,1340003,90499,FITA  M31130 POLIMP MEADA COR 5779/P,18MM,15810765,910,0,11/06/2026,09/07/2026,0,,29/06/2026,09/07/26,,#N/A,1340003,,28,NEW BALANCE,134678,
592,OK,DASS ITAPIPOCA,2,139581,1394779,94283,FITA  M31130 POLIMP COR 6114/PM,18MM,15810765,550,0,11/06/2026,09/07/2026,0,PRODUÇAO,29/06/2026,09/07/26,,#N/A,1394779,,28,NEW BALANCE,134678,
593,OK,DASS ITAPIPOCA,2,139581,1194996,80593,FITA MFGP C/ GOMA POLIESTER COR 440,10MM,15810765,60,0,11/06/2026,09/07/2026,0,,29/06/2026,09/07/26,,1194996,1194996,,28,NEW BALANCE,134678,
594,OK,DASS ITAPIPOCA,2,139582,816595,71376,FITA MFGP C/ GOMA POLIESTER COR 102,10MM,15810766,100,0,11/06/2026,09/07/2026,0,,29/06/2026,09/07/26,,816595,816595,URDIDEIRA,28,NEW BALANCE,134679,
595,OK,DASS ITAPIPOCA,2,139582,998353,76910,FITA MFGP C/ GOMA POLIESTER COR 263,10MM,15810766,100,0,11/06/2026,09/07/2026,0,PRODUÇAO,29/06/26,09/07/26,,#N/A,998353,,28,NEW BALANCE,134679,
596,OK,DASS ITAPIPOCA,2,139582,1231802,84038,FITA MFGP C/ GOMA POLIESTER COR 280,10MM,15810766,50,0,11/06/2026,09/07/2026,0,,29/06/26,09/07/26,,#N/A,1231802,,28,NEW BALANCE,134679,
1009,OK,DASS ITAPIPOCA,2,139849,1417897,93832,FITA M31140 POLIESTER COR 4282 / COR 4277,10MM,15833032,50,809103,18/06/2026,09/07/2026,0,,01/07/26,09/07/26,,#N/A,1417897,URDIDEIRA,21,NEW BALANCE,134827,
1023,OK,DASS ITAPIPOCA,2,140054,1286877,74749,FITA MFGP C/ GOMA POLIESTER COR 481,18MM,15858245,20,8110911,24/06/2026,09/07/2026,0,,09/07/26,#N/A,#N/A,1286877,1286877,,15,ADIDAS,134835,
1024,OK,DASS ITAPIPOCA,2,140055,1363643,91191,ATAC. MR110002 6MM RECICLADO COR 5847/PET,135CM,15858252,40,8110925,24/06/2026,09/07/2026,0,,09/07/26,#N/A,#N/A,#N/A,1363643,,15,ADIDAS,134836,
1028,OK,DASS ITAPIPOCA,2,140258,1363662,92066,ATAC. M10147 6MM POLIMP COR 100/P,155CM,15822082,10,806561,29/06/2026,09/07/2026,0,,29/06/26,09/07/26,,#N/A,1363662,,10,ADIDAS,135208,
1029,OK,DASS ITAPIPOCA,2,140258,1396862,94269,ATAC. M60126 6MM ALPINA COR 2470,130CM,15822082,10,806567,29/06/2026,09/07/2026,0,,29/06/26,09/07/26,,#N/A,1396862,,10,ADIDAS,135208,
1030,OK,DASS ITAPIPOCA,2,140258,1396862,94269,ATAC. M60126 6MM ALPINA COR 2470,135CM,15822082,30,806568,29/06/2026,09/07/2026,0,,29/06/26,09/07/26,,#N/A,1396862,,10,ADIDAS,135208,
1031,OK,DASS ITAPIPOCA,2,140258,1396862,94269,ATAC. M60126 6MM ALPINA COR 2470,140CM,15822082,20,806569,29/06/2026,09/07/2026,0,,29/06/26,09/07/26,,#N/A,1396862,,10,ADIDAS,135208,
1923,OK,DASS ITAPIPOCA,2,140567,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,150CM,15773733,8,15766040ITA0360266,07/07/2026,09/07/2026,0,,07/07/26,09/07/26,,#N/A,841052,,2,ADIDAS,135366,
2042,OK,DAKOTA IGUATU,91,140364,6316865,69743,ATAC. M1294 7MM POLIESTER COR 101,85CM,76940U,292,,01/07/2026,09/07/2026,0,,09/07/26,#N/A,#N/A,#N/A,6316865,URDIDEIRA,8,DAKOTA (Todas),135294,
2043,OK,DAKOTA IGUATU,91,140364,9203730,69743,ATAC. M1294 7MM POLIESTER COR 101,95CM,76940U,332,,01/07/2026,09/07/2026,0,,09/07/26,#N/A,#N/A,#N/A,9203730,URDIDEIRA,8,DAKOTA (Todas),135294,
2044,OK,DAKOTA IGUATU,91,140364,6315653,82062,ATAC. M1294 7MM POLIESTER COR 114,85CM,76940U,191,,01/07/2026,09/07/2026,0,,09/07/26,#N/A,#N/A,#N/A,6315653,,8,DAKOTA (Todas),135294,
2045,OK,DAKOTA IGUATU,91,140364,9203927,82062,ATAC. M1294 7MM POLIESTER COR 114,95CM,76940U,193,,01/07/2026,09/07/2026,0,,09/07/26,#N/A,#N/A,#N/A,9203927,,8,DAKOTA (Todas),135294,
2046,NÃO,DAKOTA IGUATU,91,140364,6318047,83813,ATAC. M1294 7MM POLIESTER COR 987,85CM,76940U,150,,01/07/2026,09/07/2026,0,,09/07/26,#N/A,#N/A,#N/A,6318047,,8,DAKOTA (Todas),135294,
2047,NÃO,DAKOTA IGUATU,91,140364,9209885,83813,ATAC. M1294 7MM POLIESTER COR 987,95CM,76940U,195,,01/07/2026,09/07/2026,0,,09/07/26,#N/A,#N/A,#N/A,9209885,,8,DAKOTA (Todas),135294,
1,OK,DASS ITAPIPOCA,2,138056,1380688,94125,ATAC. M60126 6MM ALPINA COR 2454,115CM,15635891,398,15620058ADL0000412,29/04/2026,10/07/2026,1,,08/06/26,10/07/26,,#N/A,1380688,,71,ADIDAS,,
14,OK,DASS ITAPIPOCA,2,138059,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,115CM,15636350,10,15619103ADL0000419,29/04/2026,10/07/2026,1,PRODUÇAO,29/06/26,10/07/26,,#N/A,1380683,,71,ADIDAS,132968,
15,OK,DASS ITAPIPOCA,2,138059,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,115CM,15636350,10,15619106ADL0000419,29/04/2026,10/07/2026,1,PRODUÇAO,29/06/26,10/07/26,,#N/A,1380683,,71,ADIDAS,132968,
16,OK,DASS ITAPIPOCA,2,138059,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,115CM,15636350,19,15619110ADL0000419,29/04/2026,10/07/2026,1,PRODUÇAO,29/06/26,10/07/26,,#N/A,1380683,,71,ADIDAS,132968,
17,OK,DASS ITAPIPOCA,2,138059,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15636350,391,15619103ADL0000419,29/04/2026,10/07/2026,1,PRODUÇAO,29/06/26,10/07/26,,#N/A,1380683,,71,ADIDAS,132968,
18,OK,DASS ITAPIPOCA,2,138059,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15636350,390,15619106ADL0000419,29/04/2026,10/07/2026,1,PRODUÇAO,29/06/26,10/07/26,,#N/A,1380683,,71,ADIDAS,132968,
