,,,,,,,09/04/2026,DESATUALIZADO,,,,,EM VERDE DATA APROVADA CLIENTE,EM LARANJA DATA NÃO APROVADA CLIENTE,10/04/2026,,,,,,,,
,EM VERMELHO CÓD. DA CARTELA NÃO LOCALIZADO,,,,,,10/04/2026 07:05:29,,DÚVIDA CLICA AQUI,,https://encurtador.com.br/2bDAO,,SEMPRE VERIFICAR O FILTRO PRAZO,,,,,,,,,,
Column 24,CARTELA,CLIENTE,CÓD. FILIAL,PEDIDO,CÓD. CLIENTE,CÓD. MARFIM,DESCRIÇÃO,TAMANHO,ORD. COMPRA,QTD. ABERTA,CÓD. OS ,DATA RECEB.,DT. ENTREGA,PRAZO,SITUAÇÃO DE ITENS,DATA SISTEMA,DATAS REPROGRAMADAS,APROVAÇÃO DO CLIENTE,CÓD. ALTERADO,CÓD. DO SISTEMA,POSIÇÃO NA PRODUÇÃO,PEDIDO NA EMPRESA EM DIAS,Column 23
932,OK,DASS ITAPIPOCA,2,136138,1410855,93894,ATAC. M12183 6MM REFLEX COR 4874,125CM,15403542,60,15402475ITA11178-A,10/03/2026,17/04/2026,7,PRODUÇAO,23/03/26,17/04/26,,#N/A,1410855,,31,
933,OK,DASS ITAPIPOCA,2,136138,1410855,93894,ATAC. M12183 6MM REFLEX COR 4874,125CM,15403542,60,15402478ITA11178-B,10/03/2026,17/04/2026,7,PRODUÇAO,23/03/26,17/04/26,,#N/A,1410855,,31,
934,OK,DASS ITAPIPOCA,2,136138,1410855,93894,ATAC. M12183 6MM REFLEX COR 4874,125CM,15403542,60,15402481ITA11178-C,10/03/2026,17/04/2026,7,PRODUÇAO,23/03/26,17/04/26,,#N/A,1410855,,31,
935,OK,DASS ITAPIPOCA,2,136138,1410855,93894,ATAC. M12183 6MM REFLEX COR 4874,125CM,15403542,60,15402484ITA11178-D,10/03/2026,17/04/2026,7,PRODUÇAO,23/03/26,17/04/26,,#N/A,1410855,,31,
936,OK,DASS ITAPIPOCA,2,136138,1410855,93894,ATAC. M12183 6MM REFLEX COR 4874,125CM,15403542,60,15402487ITA11178-E,10/03/2026,17/04/2026,7,PRODUÇAO,23/03/26,17/04/26,,#N/A,1410855,,31,
937,OK,DASS ITAPIPOCA,2,136138,1410855,93894,ATAC. M12183 6MM REFLEX COR 4874,125CM,15403542,69,15402490ITA11178-F,10/03/2026,17/04/2026,7,PRODUÇAO,23/03/26,17/04/26,,#N/A,1410855,,31,
938,OK,DASS ITAPIPOCA,2,136138,1410855,93894,ATAC. M12183 6MM REFLEX COR 4874,125CM,15403542,50,15402493ITA11178-G,10/03/2026,17/04/2026,7,PRODUÇAO,23/03/26,17/04/26,,#N/A,1410855,,31,
939,OK,DASS ITAPIPOCA,2,136138,1410855,93894,ATAC. M12183 6MM REFLEX COR 4874,125CM,15403542,51,15402496ITA11178-H,10/03/2026,17/04/2026,7,PRODUÇAO,23/03/26,17/04/26,,#N/A,1410855,,31,
940,OK,DASS ITAPIPOCA,2,136138,1410855,93894,ATAC. M12183 6MM REFLEX COR 4874,125CM,15403542,55,15402523ITA11195-A,10/03/2026,17/04/2026,7,PRODUÇAO,23/03/26,17/04/26,,#N/A,1410855,,31,
941,OK,DASS ITAPIPOCA,2,136138,1410855,93894,ATAC. M12183 6MM REFLEX COR 4874,125CM,15403542,47,15402526ITA11195-B,10/03/2026,17/04/2026,7,PRODUÇAO,23/03/26,17/04/26,,#N/A,1410855,,31,
1024,OK,DASS ITAPIPOCA,2,136289,1220052,86212,ATAC. M6034 8MM ALPINA COR 2344,125CM,15425362,15,15424918ITA11172-A,13/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1220052,,28,
1025,OK,DASS ITAPIPOCA,2,136289,1220052,86212,ATAC. M6034 8MM ALPINA COR 2344,125CM,15425362,10,15424921ITA11172-B,13/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1220052,,28,
1026,OK,DASS ITAPIPOCA,2,136289,1220052,86212,ATAC. M6034 8MM ALPINA COR 2344,125CM,15425362,15,15424924ITA11172-C,13/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1220052,,28,
1027,OK,DASS ITAPIPOCA,2,136289,1220052,86212,ATAC. M6034 8MM ALPINA COR 2344,125CM,15425362,22,15424927ITA11184-A,13/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1220052,,28,
1028,OK,DASS ITAPIPOCA,2,136289,1220052,86212,ATAC. M6034 8MM ALPINA COR 2344,125CM,15425362,13,15424930ITA11184-B,13/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1220052,,28,
1029,OK,DASS ITAPIPOCA,2,136289,1220052,86212,ATAC. M6034 8MM ALPINA COR 2344,135CM,15425362,137,15424918ITA11172-A,13/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1220052,,28,
1030,OK,DASS ITAPIPOCA,2,136289,1220052,86212,ATAC. M6034 8MM ALPINA COR 2344,135CM,15425362,100,15424921ITA11172-B,13/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1220052,,28,
1031,OK,DASS ITAPIPOCA,2,136289,1220052,86212,ATAC. M6034 8MM ALPINA COR 2344,135CM,15425362,132,15424924ITA11172-C,13/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1220052,,28,
1032,OK,DASS ITAPIPOCA,2,136289,1220052,86212,ATAC. M6034 8MM ALPINA COR 2344,135CM,15425362,120,15424927ITA11184-A,13/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1220052,,28,
1033,OK,DASS ITAPIPOCA,2,136289,1220052,86212,ATAC. M6034 8MM ALPINA COR 2344,135CM,15425362,110,15424930ITA11184-B,13/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1220052,,28,
1034,OK,DASS ITAPIPOCA,2,136289,1220052,86212,ATAC. M6034 8MM ALPINA COR 2344,135CM,15425362,145,15424933ITA11184-C,13/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1220052,,28,
1035,OK,DASS ITAPIPOCA,2,136289,1220052,86212,ATAC. M6034 8MM ALPINA COR 2344,140CM,15425362,331,15424918ITA11172-A,13/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1220052,,28,
1036,OK,DASS ITAPIPOCA,2,136289,1220052,86212,ATAC. M6034 8MM ALPINA COR 2344,140CM,15425362,310,15424921ITA11172-B,13/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1220052,,28,
1037,OK,DASS ITAPIPOCA,2,136289,1220052,86212,ATAC. M6034 8MM ALPINA COR 2344,140CM,15425362,336,15424924ITA11172-C,13/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1220052,,28,
1038,OK,DASS ITAPIPOCA,2,136289,1220052,86212,ATAC. M6034 8MM ALPINA COR 2344,140CM,15425362,221,15424927ITA11184-A,13/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1220052,,28,
1039,OK,DASS ITAPIPOCA,2,136289,1220052,86212,ATAC. M6034 8MM ALPINA COR 2344,140CM,15425362,210,15424930ITA11184-B,13/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1220052,,28,
1040,OK,DASS ITAPIPOCA,2,136289,1220052,86212,ATAC. M6034 8MM ALPINA COR 2344,140CM,15425362,235,15424933ITA11184-C,13/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1220052,,28,
1041,OK,DASS ITAPIPOCA,2,136289,1220052,86212,ATAC. M6034 8MM ALPINA COR 2344,145CM,15425362,123,15424918ITA11172-A,13/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1220052,,28,
1042,OK,DASS ITAPIPOCA,2,136289,1220052,86212,ATAC. M6034 8MM ALPINA COR 2344,145CM,15425362,70,15424921ITA11172-B,13/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1220052,,28,
1043,OK,DASS ITAPIPOCA,2,136289,1220052,86212,ATAC. M6034 8MM ALPINA COR 2344,145CM,15425362,22,15424924ITA11172-C,13/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1220052,,28,
1044,OK,DASS ITAPIPOCA,2,136289,1220052,86212,ATAC. M6034 8MM ALPINA COR 2344,145CM,15425362,57,15424927ITA11184-A,13/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1220052,,28,
1045,OK,DASS ITAPIPOCA,2,136289,1220052,86212,ATAC. M6034 8MM ALPINA COR 2344,145CM,15425362,40,15424930ITA11184-B,13/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1220052,,28,
1046,OK,DASS ITAPIPOCA,2,136289,1220052,86212,ATAC. M6034 8MM ALPINA COR 2344,145CM,15425362,50,15424933ITA11184-C,13/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1220052,,28,
1114,OK,DASS ITAPIPOCA,2,136434,1355534,92409,ATAC. M60109 ALPINA COR 2447,110CM,15431875,552,15425499NEWB003585,17/03/2026,17/04/2026,7,,30/03/26,17/04/26,,#N/A,1355534,,24,
1115,OK,DASS ITAPIPOCA,2,136434,1355534,92409,ATAC. M60109 ALPINA COR 2447,110CM,15431875,600,15425502NEWB003585,17/03/2026,17/04/2026,7,,30/03/26,17/04/26,,#N/A,1355534,,24,
1116,OK,DASS ITAPIPOCA,2,136434,1355534,92409,ATAC. M60109 ALPINA COR 2447,110CM,15431875,504,15425505NEWB003586,17/03/2026,17/04/2026,7,,30/03/26,17/04/26,,#N/A,1355534,,24,
1117,OK,DASS ITAPIPOCA,2,136434,1355534,92409,ATAC. M60109 ALPINA COR 2447,110CM,15431875,528,15425508NEWB003586,17/03/2026,17/04/2026,7,,30/03/26,17/04/26,,#N/A,1355534,,24,
1118,OK,DASS ITAPIPOCA,2,136434,1355534,92409,ATAC. M60109 ALPINA COR 2447,120CM,15431875,24,15425499NEWB003585,17/03/2026,17/04/2026,7,,30/03/26,17/04/26,,#N/A,1355534,,24,
1119,OK,DASS ITAPIPOCA,2,136434,1355534,92409,ATAC. M60109 ALPINA COR 2447,120CM,15431875,24,15425502NEWB003585,17/03/2026,17/04/2026,7,,30/03/26,17/04/26,,#N/A,1355534,,24,
1120,OK,DASS ITAPIPOCA,2,136435,1394948,94696,ATAC. M13461 10MM POLIESTER COR 100 / COR 4324,120CM,15432087,144,15425714NEWB003574,17/03/2026,17/04/2026,7,,06/04/26,17/04/26,,#N/A,1394948,,24,
1121,OK,DASS ITAPIPOCA,2,136435,1394948,94696,ATAC. M13461 10MM POLIESTER COR 100 / COR 4324,120CM,15432087,120,15425739NEWB003574,17/03/2026,17/04/2026,7,,06/04/26,17/04/26,,#N/A,1394948,,24,
1122,OK,DASS ITAPIPOCA,2,136435,1394948,94696,ATAC. M13461 10MM POLIESTER COR 100 / COR 4324,130CM,15432087,300,15425714NEWB003574,17/03/2026,17/04/2026,7,,06/04/26,17/04/26,,#N/A,1394948,,24,
1123,OK,DASS ITAPIPOCA,2,136435,1394948,94696,ATAC. M13461 10MM POLIESTER COR 100 / COR 4324,130CM,15432087,312,15425739NEWB003574,17/03/2026,17/04/2026,7,,06/04/26,17/04/26,,#N/A,1394948,,24,
1189,OK,DASS ITAPIPOCA,2,136437,1394950,92622,ATAC. M15097 10MM POLIESTER COR 149,120CM,15432260,132,15425650NEWB003556,17/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1394950,,24,
1190,OK,DASS ITAPIPOCA,2,136437,1394950,92622,ATAC. M15097 10MM POLIESTER COR 149,120CM,15432260,120,15425654NEWB003556,17/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1394950,,24,
1191,OK,DASS ITAPIPOCA,2,136437,1394950,92622,ATAC. M15097 10MM POLIESTER COR 149,120CM,15432260,108,15425657NEWB003556,17/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1394950,,24,
1192,OK,DASS ITAPIPOCA,2,136437,1394950,92622,ATAC. M15097 10MM POLIESTER COR 149,130CM,15432260,324,15425650NEWB003556,17/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1394950,,24,
1193,OK,DASS ITAPIPOCA,2,136437,1394950,92622,ATAC. M15097 10MM POLIESTER COR 149,130CM,15432260,288,15425654NEWB003556,17/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1394950,,24,
1194,OK,DASS ITAPIPOCA,2,136437,1394950,92622,ATAC. M15097 10MM POLIESTER COR 149,130CM,15432260,348,15425657NEWB003556,17/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1394950,,24,
1195,OK,DASS ITAPIPOCA,2,136437,1172720,73714,ATAC. M60109 ALPINA COR 2001,105CM,15432260,36,15425341NEWB003559,17/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1172720,,24,
1196,OK,DASS ITAPIPOCA,2,136437,1172720,73714,ATAC. M60109 ALPINA COR 2001,105CM,15432260,36,15425345NEWB003559,17/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1172720,,24,
1197,OK,DASS ITAPIPOCA,2,136437,1172720,73714,ATAC. M60109 ALPINA COR 2001,115CM,15432260,552,15425341NEWB003559,17/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1172720,,24,
1198,OK,DASS ITAPIPOCA,2,136437,1172720,73714,ATAC. M60109 ALPINA COR 2001,115CM,15432260,576,15425345NEWB003559,17/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1172720,,24,
1199,OK,DASS ITAPIPOCA,2,136437,1172720,73714,ATAC. M60109 ALPINA COR 2001,115CM,15432260,564,15425348NEWB003560,17/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1172720,,24,
1200,OK,DASS ITAPIPOCA,2,136437,1172720,73714,ATAC. M60109 ALPINA COR 2001,115CM,15432260,564,15425352NEWB003560,17/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1172720,,24,
1201,OK,DASS ITAPIPOCA,2,136437,1219495,85287,ATAC. M60109 ALPINA COR 2000,110CM,15432260,408,15425471NEWB003584,17/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1219495,,24,
1202,OK,DASS ITAPIPOCA,2,136437,1219495,85287,ATAC. M60109 ALPINA COR 2000,110CM,15432260,396,15425474NEWB003584,17/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1219495,,24,
1203,OK,DASS ITAPIPOCA,2,136437,1219495,85287,ATAC. M60109 ALPINA COR 2000,110CM,15432260,444,15425477NEWB003584,17/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1219495,,24,
1204,OK,DASS ITAPIPOCA,2,136437,1219495,85287,ATAC. M60109 ALPINA COR 2000,110CM,15432260,432,15425462NSBF000295,17/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1219495,,24,
1205,OK,DASS ITAPIPOCA,2,136437,1219495,85287,ATAC. M60109 ALPINA COR 2000,110CM,15432260,432,15425465NSBF000295,17/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1219495,,24,
1206,OK,DASS ITAPIPOCA,2,136437,1219495,85287,ATAC. M60109 ALPINA COR 2000,110CM,15432260,432,15425468NSBF000295,17/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1219495,,24,
1207,OK,DASS ITAPIPOCA,2,136437,1219495,85287,ATAC. M60109 ALPINA COR 2000,110CM,15432260,432,15425480NSBF000296,17/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1219495,,24,
1208,OK,DASS ITAPIPOCA,2,136437,1219495,85287,ATAC. M60109 ALPINA COR 2000,110CM,15432260,432,15425483NSBF000296,17/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1219495,,24,
1209,OK,DASS ITAPIPOCA,2,136437,1219495,85287,ATAC. M60109 ALPINA COR 2000,110CM,15432260,432,15425486NSBF000296,17/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1219495,,24,
1210,OK,DASS ITAPIPOCA,2,136437,1219495,85287,ATAC. M60109 ALPINA COR 2000,120CM,15432260,12,15425471NEWB003584,17/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1219495,,24,
1211,OK,DASS ITAPIPOCA,2,136437,1219495,85287,ATAC. M60109 ALPINA COR 2000,120CM,15432260,24,15425474NEWB003584,17/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1219495,,24,
1374,NÃO,DASS ITAPIPOCA,2,136785,1433806,93633,FITA M31137 POLIESTER COR 4041,17MM,15481937,600,0,27/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1433806,,14,
1375,NÃO,DASS ITAPIPOCA,2,136785,1433806,93633,FITA M31137 POLIESTER COR 4041,15MM,15481937,210,0,27/03/2026,17/04/2026,7,,13/04/26,17/04/26,,#N/A,1433806,,14,
1896,OK,DASS ITAPIPOCA,2,137020,998350,70164,FITA MFGP C/ GOMA POLIESTER COR 100,10MM,15507236,70,0,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,998350,117392,,8,
1897,OK,DASS ITAPIPOCA,2,137020,1410867,74749,FITA MFGP C/ GOMA POLIESTER COR 481,10MM,15507236,550,0,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,1410867,,8,
1898,OK,DASS ITAPIPOCA,2,137021,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,130CM,15507293,189,15502700ITA0360111,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841052,,8,
1899,OK,DASS ITAPIPOCA,2,137021,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,130CM,15507293,170,15502703ITA0360111,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841052,,8,
1900,OK,DASS ITAPIPOCA,2,137021,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,130CM,15507293,150,15502706ITA0360111,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841052,,8,
1901,OK,DASS ITAPIPOCA,2,137021,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,130CM,15507293,169,15502709ITA0360111,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841052,,8,
1902,OK,DASS ITAPIPOCA,2,137021,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,135CM,15507293,89,15502604ITA0360109,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841052,,8,
1903,OK,DASS ITAPIPOCA,2,137021,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,135CM,15507293,70,15502608ITA0360110,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841052,,8,
1904,OK,DASS ITAPIPOCA,2,137021,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,135CM,15507293,70,15502611ITA0360110,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841052,,8,
1905,OK,DASS ITAPIPOCA,2,137021,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,135CM,15507293,70,15502614ITA0360110,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841052,,8,
1906,OK,DASS ITAPIPOCA,2,137021,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,135CM,15507293,70,15502617ITA0360110,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841052,,8,
1907,OK,DASS ITAPIPOCA,2,137021,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,135CM,15507293,70,15502620ITA0360110,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841052,,8,
1908,OK,DASS ITAPIPOCA,2,137021,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,135CM,15507293,70,15502623ITA0360110,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841052,,8,
1909,OK,DASS ITAPIPOCA,2,137021,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,135CM,15507293,70,15502626ITA0360110,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841052,,8,
1910,OK,DASS ITAPIPOCA,2,137021,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,135CM,15507293,154,15502629ITA0360110,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841052,,8,
1911,OK,DASS ITAPIPOCA,2,137021,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,135CM,15507293,230,15502700ITA0360111,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841052,,8,
1912,OK,DASS ITAPIPOCA,2,137021,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,135CM,15507293,230,15502703ITA0360111,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841052,,8,
1913,OK,DASS ITAPIPOCA,2,137021,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,135CM,15507293,220,15502706ITA0360111,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841052,,8,
1914,OK,DASS ITAPIPOCA,2,137021,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,135CM,15507293,260,15502709ITA0360111,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841052,,8,
1915,OK,DASS ITAPIPOCA,2,137021,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,140CM,15507293,435,15502604ITA0360109,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841052,,8,
1916,OK,DASS ITAPIPOCA,2,137021,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,140CM,15507293,391,15502608ITA0360110,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841052,,8,
1917,OK,DASS ITAPIPOCA,2,137021,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,140CM,15507293,390,15502611ITA0360110,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841052,,8,
1918,OK,DASS ITAPIPOCA,2,137021,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,140CM,15507293,390,15502614ITA0360110,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841052,,8,
1919,OK,DASS ITAPIPOCA,2,137021,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,140CM,15507293,390,15502617ITA0360110,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841052,,8,
1920,OK,DASS ITAPIPOCA,2,137021,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,140CM,15507293,390,15502620ITA0360110,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841052,,8,
1921,OK,DASS ITAPIPOCA,2,137021,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,140CM,15507293,390,15502623ITA0360110,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841052,,8,
1922,OK,DASS ITAPIPOCA,2,137021,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,140CM,15507293,380,15502626ITA0360110,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841052,,8,
1923,OK,DASS ITAPIPOCA,2,137021,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,140CM,15507293,440,15502629ITA0360110,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841052,,8,
1924,OK,DASS ITAPIPOCA,2,137021,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,140CM,15507293,80,15502700ITA0360111,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841052,,8,
1925,OK,DASS ITAPIPOCA,2,137021,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,140CM,15507293,80,15502703ITA0360111,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841052,,8,
1926,OK,DASS ITAPIPOCA,2,137021,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,140CM,15507293,70,15502706ITA0360111,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841052,,8,
1927,OK,DASS ITAPIPOCA,2,137021,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,140CM,15507293,101,15502709ITA0360111,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841052,,8,
1928,OK,DASS ITAPIPOCA,2,137021,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,145CM,15507293,77,15502604ITA0360109,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841052,,8,
1929,OK,DASS ITAPIPOCA,2,137021,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,145CM,15507293,101,15502608ITA0360110,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841052,,8,
1930,OK,DASS ITAPIPOCA,2,137021,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,145CM,15507293,80,15502611ITA0360110,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841052,,8,
1931,OK,DASS ITAPIPOCA,2,137021,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,145CM,15507293,80,15502614ITA0360110,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841052,,8,
1932,OK,DASS ITAPIPOCA,2,137021,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,145CM,15507293,80,15502617ITA0360110,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841052,,8,
1933,OK,DASS ITAPIPOCA,2,137021,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,145CM,15507293,85,15502620ITA0360110,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841052,,8,
1934,OK,DASS ITAPIPOCA,2,137021,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,145CM,15507293,70,15502623ITA0360110,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841052,,8,
1935,OK,DASS ITAPIPOCA,2,137021,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,145CM,15507293,67,15502626ITA0360110,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841052,,8,
1936,OK,DASS ITAPIPOCA,2,137021,841051,83062,ATAC. M12109 8MM POLIESTER COR 100,135CM,15507293,110,15502676ITA0360112,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841051,,8,
1937,OK,DASS ITAPIPOCA,2,137021,841051,83062,ATAC. M12109 8MM POLIESTER COR 100,135CM,15507293,90,15502679ITA0360112,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841051,,8,
1938,OK,DASS ITAPIPOCA,2,137021,841051,83062,ATAC. M12109 8MM POLIESTER COR 100,135CM,15507293,116,15502682ITA0360112,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841051,,8,
1939,OK,DASS ITAPIPOCA,2,137021,841051,83062,ATAC. M12109 8MM POLIESTER COR 100,140CM,15507293,331,15502676ITA0360112,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841051,,8,
1940,OK,DASS ITAPIPOCA,2,137021,841051,83062,ATAC. M12109 8MM POLIESTER COR 100,140CM,15507293,310,15502679ITA0360112,02/04/2026,17/04/2026,7,,17/04/26,#N/A,#N/A,#N/A,841051,,8,
1941,OK,DASS ITAPIPOCA,2,137021,841051,83062,ATAC. M12109 8MM POLIESTER COR 100,140CM,15507293,345,15502682ITA0360112,02/04/2026,17/04/2026,7,,17/04/2026,#N/A,#N/A,#N/A,841051,,8,
