,,,,,,,09/04/2026,DESATUALIZADO,,,,,EM VERDE DATA APROVADA CLIENTE,EM LARANJA DATA NÃO APROVADA CLIENTE,10/04/2026,,,,,,,,
,EM VERMELHO CÓD. DA CARTELA NÃO LOCALIZADO,,,,,,10/04/2026 07:05:29,,DÚVIDA CLICA AQUI,,https://encurtador.com.br/2bDAO,,SEMPRE VERIFICAR O FILTRO PRAZO,,,,,,,,,,
Column 24,CARTELA,CLIENTE,CÓD. FILIAL,PEDIDO,CÓD. CLIENTE,CÓD. MARFIM,DESCRIÇÃO,TAMANHO,ORD. COMPRA,QTD. ABERTA,CÓD. OS ,DATA RECEB.,DT. ENTREGA,PRAZO,SITUAÇÃO DE ITENS,DATA SISTEMA,DATAS REPROGRAMADAS,APROVAÇÃO DO CLIENTE,CÓD. ALTERADO,CÓD. DO SISTEMA,POSIÇÃO NA PRODUÇÃO,PEDIDO NA EMPRESA EM DIAS,Column 23
960,OK,DASS ITAPIPOCA,2,136139,1410855,93894,ATAC. M12183 6MM REFLEX COR 4874,125CM,15403551,40,15402249ADS000004-,10/03/2026,09/04/2026,-1,PRODUÇAO,23/03/2026,09/04/2026,,#N/A,1410855,,31,
961,OK,DASS ITAPIPOCA,2,136139,1410855,93894,ATAC. M12183 6MM REFLEX COR 4874,125CM,15403551,50,15402252ADS000004-,10/03/2026,09/04/2026,-1,PRODUÇAO,23/03/2026,09/04/2026,,#N/A,1410855,,31,
962,OK,DASS ITAPIPOCA,2,136139,1410855,93894,ATAC. M12183 6MM REFLEX COR 4874,125CM,15403551,60,15402517ITA11194-A,10/03/2026,09/04/2026,-1,PRODUÇAO,23/03/2026,09/04/2026,,#N/A,1410855,,31,
963,OK,DASS ITAPIPOCA,2,136139,1410855,93894,ATAC. M12183 6MM REFLEX COR 4874,125CM,15403551,79,15402520ITA11194-B,10/03/2026,09/04/2026,-1,PRODUÇAO,23/03/2026,09/04/26,,#N/A,1410855,,31,
2167,OK,DAKOTA IGUATU,91,136987,6145599,69451,ATAC. M1294 7MM POLIESTER COR 053,75CM,18573U,12,,01/04/2026,09/04/2026,-1,,09/04/26,#N/A,#N/A,#N/A,6145599,,9,
2168,OK,DAKOTA IGUATU,91,136987,6145599,69451,ATAC. M1294 7MM POLIESTER COR 053,85CM,18573U,3,,01/04/2026,09/04/2026,-1,,09/04/26,#N/A,#N/A,#N/A,6145599,,9,
2169,OK,DAKOTA IGUATU,91,136987,6143406,69770,ATAC. M1294 7MM POLIESTER COR 100,75CM,18573U,13,,01/04/2026,09/04/2026,-1,,09/04/26,#N/A,#N/A,#N/A,6143406,,9,
2170,OK,DAKOTA IGUATU,91,136987,6143406,69770,ATAC. M1294 7MM POLIESTER COR 100,85CM,18573U,2,,01/04/2026,09/04/2026,-1,,09/04/26,#N/A,#N/A,#N/A,6143406,,9,
1,OK,DASS ITAPIPOCA,2,134558,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,115CM,15247888,10,15242784ADL000330-,29/01/2026,10/04/2026,0,,16/03/26,10/04/2026,,#N/A,1380683,MONTAR,71,
2,OK,DASS ITAPIPOCA,2,134558,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,115CM,15247888,10,15242787ADL000330-,29/01/2026,10/04/2026,0,,16/03/26,10/04/26,,#N/A,1380683,MONTAR,71,
3,OK,DASS ITAPIPOCA,2,134558,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,115CM,15247888,10,15242790ADL000330-,29/01/2026,10/04/2026,0,,16/03/26,10/04/2026,,#N/A,1380683,MONTAR,71,
4,OK,DASS ITAPIPOCA,2,134558,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,115CM,15247888,390,15235358ADL000337-,29/01/2026,10/04/2026,0,,16/03/26,10/04/2026,,#N/A,1380683,MONTAR,71,
5,OK,DASS ITAPIPOCA,2,134558,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,115CM,15247888,390,15235361ADL000337-,29/01/2026,10/04/2026,0,,16/03/26,10/04/2026,,#N/A,1380683,MONTAR,71,
6,OK,DASS ITAPIPOCA,2,134558,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,115CM,15247888,390,15235364ADL000337-,29/01/2026,10/04/2026,0,,16/03/26,10/04/2026,,#N/A,1380683,MONTAR,71,
7,OK,DASS ITAPIPOCA,2,134558,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,115CM,15247888,380,15235367ADL000337-,29/01/2026,10/04/2026,0,,16/03/26,10/04/26,,#N/A,1380683,MONTAR,71,
8,OK,DASS ITAPIPOCA,2,134558,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,115CM,15247888,426,15235370ADL000337-,29/01/2026,10/04/2026,0,,16/03/26,10/04/26,,#N/A,1380683,MONTAR,71,
9,OK,DASS ITAPIPOCA,2,134558,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15247888,341,15242784ADL000330-,29/01/2026,10/04/2026,0,,16/03/2026,10/04/2026,,#N/A,1380683,MONTAR,71,
10,OK,DASS ITAPIPOCA,2,134558,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15247888,340,15242787ADL000330-,29/01/2026,10/04/2026,0,,16/03/2026,10/04/2026,,#N/A,1380683,MONTAR,71,
11,OK,DASS ITAPIPOCA,2,134558,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15247888,340,15242790ADL000330-,29/01/2026,10/04/2026,0,,16/03/2026,10/04/2026,,#N/A,1380683,MONTAR,71,
12,OK,DASS ITAPIPOCA,2,134558,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15247888,160,15235358ADL000337-,29/01/2026,10/04/2026,0,,16/03/26,10/04/26,,#N/A,1380683,MONTAR,71,
13,OK,DASS ITAPIPOCA,2,134558,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15247888,160,15235361ADL000337-,29/01/2026,10/04/2026,0,,16/03/2026,10/04/2026,,#N/A,1380683,MONTAR,71,
14,OK,DASS ITAPIPOCA,2,134558,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15247888,160,15235364ADL000337-,29/01/2026,10/04/2026,0,,16/03/2026,10/04/2026,,#N/A,1380683,MONTAR,71,
15,OK,DASS ITAPIPOCA,2,134558,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15247888,155,15235367ADL000337-,29/01/2026,10/04/2026,0,,16/03/2026,10/04/2026,,#N/A,1380683,MONTAR,71,
16,OK,DASS ITAPIPOCA,2,134558,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15247888,201,15235370ADL000337-,29/01/2026,10/04/2026,0,,16/03/2026,10/04/2026,,#N/A,1380683,MONTAR,71,
17,OK,DASS ITAPIPOCA,2,134558,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,125CM,15247888,235,15242784ADL000330-,29/01/2026,10/04/2026,0,,16/03/2026,10/04/2026,,#N/A,1380683,MONTAR,71,
18,OK,DASS ITAPIPOCA,2,134558,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,125CM,15247888,210,15242787ADL000330-,29/01/2026,10/04/2026,0,,16/03/2026,10/04/26,,#N/A,1380683,MONTAR,71,
19,OK,DASS ITAPIPOCA,2,134558,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,125CM,15247888,210,15242790ADL000330-,29/01/2026,10/04/2026,0,,16/03/2026,10/04/26,,#N/A,1380683,MONTAR,71,
20,OK,DASS ITAPIPOCA,2,134559,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,115CM,15247915,10,15242793ADL000330-,29/01/2026,10/04/2026,0,EMBARQUE EM ATRASO,23/03/2026,10/04/26,,#N/A,1380683,,71,
21,OK,DASS ITAPIPOCA,2,134559,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,115CM,15247915,15,15242796ADL000330-,29/01/2026,10/04/2026,0,EMBARQUE EM ATRASO,23/03/2026,10/04/26,,#N/A,1380683,,71,
22,OK,DASS ITAPIPOCA,2,134559,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,115CM,15247915,10,15242817ADL000332-,29/01/2026,10/04/2026,0,EMBARQUE EM ATRASO,23/03/2026,10/04/2026,,#N/A,1380683,,71,
23,OK,DASS ITAPIPOCA,2,134559,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,115CM,15247915,10,15242820ADL000332-,29/01/2026,10/04/2026,0,EMBARQUE EM ATRASO,23/03/2026,10/04/2026,,#N/A,1380683,,71,
24,OK,DASS ITAPIPOCA,2,134559,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15247915,340,15242793ADL000330-,29/01/2026,10/04/2026,0,EMBARQUE EM ATRASO,23/03/2026,10/04/2026,,#N/A,1380683,,71,
25,OK,DASS ITAPIPOCA,2,134559,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15247915,340,15242796ADL000330-,29/01/2026,10/04/2026,0,EMBARQUE EM ATRASO,23/03/2026,10/04/2026,,#N/A,1380683,,71,
26,OK,DASS ITAPIPOCA,2,134559,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15247915,340,15242799ADL000330-,29/01/2026,10/04/2026,0,EMBARQUE EM ATRASO,23/03/26,10/04/26,,#N/A,1380683,,71,
27,OK,DASS ITAPIPOCA,2,134559,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15247915,310,15242802ADL000330-,29/01/2026,10/04/2026,0,EMBARQUE EM ATRASO,23/03/26,10/04/26,,#N/A,1380683,,71,
28,OK,DASS ITAPIPOCA,2,134559,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15247915,340,15242805ADL000330-,29/01/2026,10/04/2026,0,EMBARQUE EM ATRASO,23/03/26,10/04/26,,#N/A,1380683,,71,
29,OK,DASS ITAPIPOCA,2,134559,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15247915,311,15242817ADL000332-,29/01/2026,10/04/2026,0,EMBARQUE EM ATRASO,23/03/26,10/04/26,,#N/A,1380683,,71,
30,OK,DASS ITAPIPOCA,2,134559,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15247915,310,15242820ADL000332-,29/01/2026,10/04/2026,0,EMBARQUE EM ATRASO,23/03/26,10/04/2026,,#N/A,1380683,,71,
31,OK,DASS ITAPIPOCA,2,134559,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,125CM,15247915,210,15242793ADL000330-,29/01/2026,10/04/2026,0,EMBARQUE EM ATRASO,23/03/26,10/04/2026,,#N/A,1380683,,71,
32,OK,DASS ITAPIPOCA,2,134559,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,125CM,15247915,210,15242796ADL000330-,29/01/2026,10/04/2026,0,EMBARQUE EM ATRASO,23/03/2026,10/04/2026,,#N/A,1380683,,71,
33,OK,DASS ITAPIPOCA,2,134559,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,125CM,15247915,210,15242799ADL000330-,29/01/2026,10/04/2026,0,EMBARQUE EM ATRASO,23/03/2026,10/04/2026,,#N/A,1380683,,71,
34,OK,DASS ITAPIPOCA,2,134559,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,125CM,15247915,210,15242802ADL000330-,29/01/2026,10/04/2026,0,EMBARQUE EM ATRASO,23/03/2026,10/04/2026,,#N/A,1380683,,71,
